"MedievalMadness_Upgrade(Real_Final)","Medieval Madness","Williams","1997","mm_109c"
"Monster Bash (Williams 1998) VPWmod v1.0","Monster Bash","Williams","1998","mb_106b"
"No Fear (Williams 1995) VPW v1.0","No Fear: Dangerous Sports","Williams","1995","nf_23x"
"Outer Space (Gottlieb 1972)","Outer Space","Gottlieb","1972",""
"OXO (Williams 1973)","OXO","Williams","1973",""
"Pat Hand (Williams 1975) 1.5.1","Pat Hand","Williams","1975",""
"PinBot (Williams 1986)","PIN·BOT","Williams","1986","pb_l5"
"Pirate Gold (Chicago Coin 1969)","Pirate Gold","Chicago Coin","1969",""
"Police Force (Williams 1989) VPW v1.1","Police Force","Williams","1989","polic_l4"
"Popeye Saves the Earth (Bally 1994) v1.25","Popeye Saves the Earth","Bally","1994","pop_lx5"
"Power Play (Bally 1977)","Bobby Orr Power Play","Bally","1977",""
"QBerts Quest (Gottlieb 1983)","Q*bert's Quest","Gottlieb","1983","qbquest"
"Quicksilver (Stern 1980) 2.0c","Quicksilver","Stern","1980","quicksil"
"Red and Ted's Road Show (Williams 1994) VPW 1.4","Red & Ted's Road Show","Williams","1994","rs_l6"
"Road Race (Gottlieb 1969)","Road Race","Gottlieb","1969",""
"Robocop (Data East 1989)_drakkon(mod_1.2)","Robocop","Data East","1989","robo_a34"
"Rollercoaster Tycoon (Stern 2002) VPW 2.2","RollerCoaster Tycoon","Stern","2002","rctycn"
"Scared Stiff (Bally 1996) v1.29","Scared Stiff","Bally","1996","ss_15"
"Simpsons Pinball Party, The (Stern 2003) VPW 2.0","Simpsons Pinball Party","Stern","2003","simpprty"
"Sing Along (Gottlieb 1967)","Sing Along","Gottlieb","1967",""
"Slick Chick (Gottlieb 1963) 1.3.1","Slick Chick","Gottlieb","1963",""
"Sorcerer (Williams 1985) w VR Room v3.0","Sorcerer","Williams","1985","sorcr_l2"
"Space Invaders (Bally 1979) borg HF","Space Invaders","Bally","1979","spaceinb"
"Space Mission (Williams 1976) 1.1","Space Mission","Williams","1976",""
"Space Shuttle (Williams 1984)","Space Shuttle","Williams","1984","sshtl_l7"
"Star Trek 25th Anniversary (Data East 1991)","Star Trek","Data East","1991","trek_201"
"Star_Trek_The_Next_Generation_Williams_1993_VPW_Mod_v1.1","Star Trek: The Next Generation","Williams","1993","sttng_l7"
"Stars (Stern 1978)","Stars","Stern","1978","stars"
"Strange Science (Bally 1986) v1.1.0","Strange Science","Bally","1986","strngsci"
"Surfer (Gottlieb 1976)","Surfer","Gottlieb","1976",""
"Terminator2(Williams1991)g5kv1.1d","Terminator 2: Judgment Day","Williams","1991","t2_l8"
"TOTAN4k 1.5","Tales of the Arabian Nights","Williams","1996","totan_14"
"Twilight Zone (Bally 1993) VPW Edition v1.0","Twilight Zone","Bally","1993","tz_94h"
